LOT #,MAKE,MODEL,CALIBER,SERIAL #,
1,JENNINGS,J-22,22LR,650602,
1,EIG,TITAN,25 AUTO,A08800,
1,BRYCO ARMS,JENNINGS J-22,22LR,1113013,
1,RAVEN ARMS,MP25,.25 CAL,1099340,
1,RAVEN ARMS,MP-25,25 AUTO,1048231,
1,ERMA-WERKE,EP .25,0.25,13912,
1,TANGFOLIO GUISEPE,GT27,0.25,G94494,
1,LORCIN,UNKNOWN,L22,12396,
1,JENNINGS,UNKNOWN,J22,488952,
1,RAVEN ARMS,UNKNOWN,0.25,1014694,
2,THALCO,UNKNOWN,22,138410,
2,F I E,TEXAS 22 LR,22 CAL,TX44072,
2,RG,22,UNKNOWN,L510394,
2,IVER JOHNSON,55,.22 CAL,C8224,
2,ROHM,RG10,.22 CAL,1301359,
2,IJA,TARGET,22,M26642,
2,N Y PISTOL CO,UNKNOWN,UNKNOWN,114,
2,ROHM,UNKNOWN,.38 SPECIAL,145598,
2,ROSSI,M58,.38 SPECIAL,AA408773,
2,H & R,732,32 S&W,AH13503,
2,R G,UNKNOWN,0.38,Q056082,
4,SMITH & WESSON,410,.40 CAL,TDN9129,
5,SMITH & WESSON,33305,.38 SPECIAL,344397,
6,ADAMS ARMS/RECIEVER,LOWER/ONLY,5.56MM,AATM015447,
7,DEL-TON INC,LOWER/ONLY,5.56MM,DTI-S112704,
8,BUSHMASTER,LOWER/ONLY,.223 / 5.56,CBC030191,
9,TAURUS,G2C,9MM,TMA05593,
10,JENNINGS,BRYCO 38,.380 CAL,337526,
10,JENNINGS,48,380,72400,
10,LORCIN,UNKNOWN,0.38,472583,
10,BRYCO ARMS,48,0.38,927069,
10,JIMENEZ,JA .380,0.38,293762,
10,JENNINGS,48,.380 AUTO,928328,
10,BRYCO ARMS,38,0.38,99028,
10,LORCIN,L380,0.38,249357,
10,HI POINT,CF380,.380 ACP,P8132256,
10,HI POINT,CF380,.380 ACP,P795896,
11,RUGER,BLACKHAWK,.357 MAG,36-38070,
12,GLOCK,29,10MM,BHVZ722,
13,KELTEC,P11,9MM,AMT35,
14,"SIG SAUER, INC.",P250,.40 S&W,EAK032079,
15,SMITH & WESSON,SD40VE,.40 CAL,FWS4098,
16,TAURUS,PT111G2,9MM,TJX12372,
17,RUGER,GP100,.38 SPECIAL,17194616,
18,KAHR ARMS,CT9,9MM,BAA8659,
19,MAGNUM RESEARCH,50AE,50,DK0012698,
20,SMITH & WESSON,5-Oct,.38 SPECIAL,C791585,
21,SMITH & WESSON,5906,9MM,VCC9443,
22,F I E,DERRINGER,.38 SPECIAL,7380,
23,SMITH & WESSON,6904,9MM,TCN4094,
24,SMITH & WESSON,SW40VE,.40 CAL,PBL9848,
25,SMITH & WESSON,6906,9MM,TEC5486,
26,THER USA (CARL WALT,P22,.22 CAL,L283443,
27,TAURUS,PT145 PRO,.45 CAL,NCX61957,
28,TAURUS,PT140 PRO,.40 CAL,SAW55708,
29,TAURUS,PT140PRO,.40 CAL,SEX47835,
30,SCCY,CPX-2,9MM,78804,
31,KELTEC,P-11,9MM,AFG89,
32,SMITH & WESSON,M&P/FRAME ONLY,UNKNOWN,MPA2493,
33,RUGER,LC9,9MM,NRA106061,
34,SMITH & WESSON,36,.38 SPECIAL,J528197,
35,SMITH & WESSON,36,.38 SPECIAL,J371722,
36,SMITH & WESSON,M36-7,.38 SPECIAL,BKE3130,
37,RUGER,P95DC,9MM,313-52925,
38,DAVIS,DM22,22 MAG,104674,
38,DAVIS,D9,9MM,D101773,
38,COBRA ENTERPRISES,CB9,9MM,CT146889,
38,DAVIS,IM-22,22,313117,
38,COBRA ENTERPRISES,CB38,.38 SPL,CT131037,
38,ROHM,RG 15,.22 CALIBER,33595,
38,DAVIS,D22,0.22,335579,
38,COBRA ENTERPRISES,CB38,.38 SPL,CT184066,
38,COBRA ENTERPRISES,CB38,.38 SPL,CT183369,
38,TALON,UNKNOWN,0.22,877,
39,HI POINT,C9,9MM,P1650919,
39,HI POINT,JHP,0.45,X4189850,
39,HI POINT,JPC,0.4,X754908,
39,HI POINT,C9,9MM,P1932024,
39,HI POINT,C9,9MM,P1365922,
39,HI POINT,JCP 40 SW,40 CAL,X7135178,
39,HI POINT,JHP 45 ACP,0.45,X4354521,
39,HI POINT,C9,9MM,P1432438,
39,HI POINT,C9,9MM,PI545211,
39,HI POINT,C9,9MM,P1207017,
40,TAURUS,UNKNOWN,357 MAG,DF292576,
41,SMITH & WESSON,M&P 40 SKU 109000,.40 S&W,HML3217,
42,SMITH & WESSON,3913LS SKU 108290,9MM,VJA2328,
43,GLOCK,17,9MM,EVX515US,
44,HECKLER & KOCH,UNKNOWN,9MM,224122640,
45,"SIG SAUER, INC.",P238,.380 ACP,52B196112,
47,"SIG SAUER, INC.",P226,9MM,58A126401,
48,GLOCK,19,9MM,BBSN745,
49,DIA MACHINE & TOOL (,UNKNOWN,0.38,A79660,
52,SMITH & WESSON,SW9VE SKU 120025,9MM,FWZ1831,
53,SMITH & WESSON,AIRWEIGHT,.38 SPL,CHB8554,
54,GLOCK,21,.45 ACP,VLM482,
55,RUGER,SR1911,0.45,671-45095,
56,GLOCK,17,9MM,LFV515,
57,GLOCK,22,.40 S&W,SPW861,
59,TAURUS,PT-1911,UNKNOWN,NBM34235,
60,SMITH & WESSON,M&P 9C,9MM,HPW6494,
61,TAURUS,PT 738,0.38,39566B,
62,ROSSI,M58,.38 SPL,AA239250,
63,RUGER,MK III,.22 LR,272-18213,
64,SMITH & WESSON,SD9VE,9MM,FWU9121,
65,TAURUS,PT111,9MM,TLU50242,
66,GLOCK,19,9MM,TBW902,
67,GLOCK,22,.40 S&W,DPV379US,
68,RG,RG 40,.38 SPL,26101,
68,GH STANDARD MFG CO,SENTINEL R-108,0.22,1995719,
68,ARMINIUS,HW5,.22 LR,741613,
68,JC HIGGINS,88,0.22,679569,
68,R G,RG23,22,T736514,
68,CLERKE,UNKNOWN,0.32,72640,
68,UNKNOWN,UNKNOWN,0.38,305251,
68,TITAN,TIGER,0.38,29680,
68,ROHM,RG38,0.38,1539-13,
68,HWM,EA/R,.38 CALIBER,1556969,
68,JC HIGGINS,MODEL 88,.22 CAL,601003,
68,HERITAGE,ROUGH RIDER,.22 CALIBER,B22306,
69,RUGER,UNKNOWN,0.38,1540-17498,
70,KELTEC,PF-9,9MM,SESO8,
71,SCCY,CPX-1,9MM,414806,
72,TAURUS,PT111PRO,9MM,TDR40637,
73,SCCY,CPX-2,9MM,262227,
74,GLOCK,19,9MM,VRM396,
75,"SIG SAUER, INC.",P226,.40 S&W,U597932,
76,SMITH & WESSON,SW9VE,9MM,PBC8754,
77,NORINCO,UNKNOWN,9MM,402726,
78,BERETTA,96 BLACK,9MM,BER090547,
79,RUGER,BLACKHAWK,0.357,35-16677,
80,H & R,949,22L,AZ039444,
81,SMITH & WESSON,686,.357MAG,BRR1251,
82,TAURUS,601,0.357,0B199508,
83,AMT KURZ,9MM .380 BACKUP,0.38,DA35947,
84,CHARTER ARMS,UC LITE,0.38,12-36144,
85,TAURUS,.38 SPECIAL,0.38,CT75962,
