incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
80-13-097166,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Sr9c,9MM,2013-12-20 00:00:00+00,INTERSECTION,N 22nd St / Bank St,Louisville,KY,40203,Black,M,21,N 22nd St / Bank St Louisville KY 40203,,,,,,
80-11-044948,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Intratec,,9MM,2011-06-11 00:00:00+00,INTERSECTION,7th Street Rd / Berry Blvd,Louisville,KY,40216,Black,M,20,7th Street Rd / Berry Blvd Louisville KY 40216,,,,,,
80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",Norinco,Sks,762M,2011-05-16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212,White,M,27,N 37th St / Bank St Louisville KY 40212,,,,,,
80-12-061676,Wpns Law Violation,"Pistol, Revolver                                       ",,,38C,2012-08-03 00:00:00+00,INTERSECTION,Dixie Hwy / Ralph Ave,Shively,KY,,Black,M,53,Dixie Hwy / Ralph Ave Shively KY ,1195202.125,260851.7188,-85.79946622,38.20602483,,LOJIC
80-12-010689,Narcotics,Null,,Airmaster,,2012-02-16 00:00:00+00,INTERSECTION,Oxmoor Ln / Shelbyville Rd,Norwood,KY,40222,White,M,36,Oxmoor Ln / Shelbyville Rd Norwood KY 40222,1248916.5,275799.875,-85.61332491,38.24939976,,LOJIC
80-16-013248,Wpns Law Violation,Null,Taurus International,Taurus,,2016-02-13 00:00:00+00,INTERSECTION,Dixie Hwy / W. Orell,Louisville,KY,40272,Black,M,24,Dixie Hwy / W. Orell Louisville KY 40272,,,,,,
80-17-006120,Fraud,"Pistol, Semi-automatic                                 ",Smith & Wesson,,380C,2017-01-20 00:00:00+00,INTERSECTION,S 26th St / Pirtle St,Louisville,KY,40212,White,M,25,S 26th St / Pirtle St Louisville KY 40212,,,,,,
80-16-018528,Wpns Law Violation,Null,,Tomcat-32,,2016-03-04 00:00:00+00,INTERSECTION,S 26th St / W Broadway,Louisville,KY,40211,Black,M,22,S 26th St / W Broadway Louisville KY 40211,,,,,,
80-15-062377,Narcotics,Null,Jimenez Arms,Ja,,2015-08-09 00:00:00+00,INTERSECTION,S 45th St / W Broadway,Louisville,KY,40211,Black,M,21,S 45th St / W Broadway Louisville KY 40211,,,,,,
80-15-016556,Narcotics,Null,Hipoint,C9,,2015-03-08 00:00:00+00,INTERSECTION,W Kentucky St / Louis Coleman Jr Dr,Louisville,KY,40211,Null,NULL,NULL,W Kentucky St / Louis Coleman Jr Dr Louisville KY 40211,,,,,,
80-15-058410,Wpns Law Violation,Null,Hipoint,9,,2015-08-05 00:00:00+00,INTERSECTION,I 264 Ramp / Poplar Level Rd,Louisville,KY,40213,Black,M,17,I 264 Ramp / Poplar Level Rd Louisville KY 40213,,,,,,
80-15-092071,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Ruger,,40C,2015-11-12 00:00:00+00,INTERSECTION,N 25th St / Bank St,Louisville,KY,40212,Black,M,19,N 25th St / Bank St Louisville KY 40212,,,,,,
80-15-064172,Wpns Law Violation,Null,Rohm,Rg14,,2015-08-15 00:00:00+00,INTERSECTION,S 28th St / W Chestnut St,Louisville,KY,40211,Black,M,51,S 28th St / W Chestnut St Louisville KY 40211,,,,,,
80-16-073556,Robbery,Null,,732,,2016-08-29 00:00:00+00,INTERSECTION,S 22nd St / W Market St,Louisville,KY,40212,Null,NULL,NULL,S 22nd St / W Market St Louisville KY 40212,,,,,,
80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",,,762M,2011-05-16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212,White,M,27,N 37th St / Bank St Louisville KY 40212,,,,,,
80-12-049715,Narcotics,"Pistol, Semi-automatic                                 ",,,9MM,2012-06-22 00:00:00+00,INTERSECTION,S 10th St / W Market St,Louisville,KY,40202,Black,M,33,S 10th St / W Market St Louisville KY 40202,,,,,,
80-15-069040,Narcotics,"Pistol, Semi-automatic                                 ",Raven Arms,,25C,2015-08-31 00:00:00+00,INTERSECTION,S 13th St / Patton Ct,Louisville,KY,40210,White,M,21,S 13th St / Patton Ct Louisville KY 40210,,,,,,
80-13-096014,Wpns Law Violation,Null,Rossi - Amadeo Rossi & Co,38 Special,,2013-12-16 00:00:00+00,INTERSECTION,Dixie Hwy / Standard Ave,Louisville,KY,40210,Null,NULL,NULL,Dixie Hwy / Standard Ave Louisville KY 40210,1198245.25,269877.1863,-85.78940225,38.23094553,,LOJIC
80-14-011928,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,25C,2014-02-18 00:00:00+00,INTERSECTION,Gheens Ave / New Cut Rd,Louisville,KY,40214,White,M,40,Gheens Ave / New Cut Rd Louisville KY 40214,1200536.5,245821.125,-85.78003571,38.16500112,,LOJIC
80-15-050967,Wpns Law Violation,Null,Beretta (industria S.A.),21a-.22lr,,2015-07-02 00:00:00+00,INTERSECTION,N 19th St / W Main St,Louisville,KY,40203,Null,NULL,NULL,N 19th St / W Main St Louisville KY 40203,,,,,,
80-16-024487,Aggravated Assault,Null,Hipoint,,,2016-03-23 00:00:00+00,INTERSECTION,Magazine St / South 10th St,Louisville,KY,40203,Null,NULL,NULL,Magazine St / South 10th St Louisville KY 40203,,,,,,
80-11-000026,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,380C,2011-01-01 00:00:00+00,INTERSECTION,N 10th St / Rowan St,Louisville,KY,40203,Hispanic,M,26,N 10th St / Rowan St Louisville KY 40203,,,,,,
80-11-103253,Narcotics,"Pistol, Semi-automatic                                 ",Hipoint,,9MM,2011-12-21 00:00:00+00,INTERSECTION,S 11th St / Magazine St,Louisville,KY,40203,Black,M,29,S 11th St / Magazine St Louisville KY 40203,1204015.5,276320.25,-85.76968709,38.24889892,,LOJIC
80-16-050891,Narcotics,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",,40C,2016-06-15 00:00:00+00,INTERSECTION,S 28th St / W Broadway,Louisville,KY,40211,Black,M,32,S 28th St / W Broadway Louisville KY 40211,,,,,,
80-11-042986,Wpns Law Violation,Machine Gun,Draco-c,Ak,762M,2011-06-04 00:00:00+00,INTERSECTION,S 32nd St / Greenwood Ave,Louisville,KY,40211,Black,M,18,S 32nd St / Greenwood Ave Louisville KY 40211,,,,,,
