,incident_number,year,recovery_date,ucr_category,firearm_category,firearm_subcategory,firearm_manufacturer,firearm_model,firearm_caliber,address_geocode_type,block_address,street_address,city,state,zipcode,longitude,latitude,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,confidence
0,80-06-008380,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
1,80-10-002211,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
2,80-17-000578,,,Suicide,,,,,,,,,Louisville,KY,40272,0.0,0.0,,,,0.0
3,80-17-001680,,,Suicide,,,,,,,,,Louisville,KY,40272,0.0,0.0,,,,0.0
4,80-17-002802,,,Death_Investigation,,,,,,,,,Louisville,KY,40211,0.0,0.0,,,,0.0
5,80-17-005762,,,Suicide,,,,,,,,,Louisville,KY,40203,0.0,0.0,,,,0.0
6,80-17-005978,,,Suicide,,,,,,,,,Louisville,KY,40215,0.0,0.0,,,,0.0
7,80-17-006522,,,Suicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
8,80-17-006938,,,Suicide,,,,,,,,,Louisville,KY,40206,0.0,0.0,,,,0.0
9,80-17-008744,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
10,80-17-009944,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
11,80-17-010334,,,Suicide,,,,,,,,,Louisville,KY,40258,0.0,0.0,,,,0.0
12,80-17-010650,,,Suicide,,,,,,,,,Louisville,KY,40272,0.0,0.0,,,,0.0
13,80-17-012897,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
15,80-17-012897,,,Homicide,,,,,,,,,Louisville,KY,40215,0.0,0.0,,,,0.0
17,80-17-014321,,,Suicide,,,,,,,,,Louisville,KY,40241,0.0,0.0,,,,0.0
18,80-17-014494,,,Suicide,,,,,,,,,Louisville,KY,40272,0.0,0.0,,,,0.0
19,80-17-015302,,,Suicide,,,,,,,,,Louisville,KY,40210,0.0,0.0,,,,0.0
20,80-16-091552,2017,2017-02-22,Burglary,Pistol,Semi-Automatic,Taurus_International,Model_Pt99,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,White,F,41.0,1.0
21,80-17-015225,2017,2017-02-22,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,,9MM,,Dixie Hwy At I265,,Louisville,KY,40272,,,White,M,19.0,
22,80-17-014942,2017,2017-02-21,Narcotics,Pistol,Semi-Automatic,Cobra_Enterprises_Inc,Ca_Series,380C,BLOCK,4200 Block S 2Nd St,4200_S_2nd_St,Louisville,KY,40214,-85.763628,38.195203,Black,F,19.0,1.0
23,80-17-015000,2017,2017-02-21,Wpns_Law_Violation,Pistol,Semi-Automatic,"Glock,_Inc.",,45C,BLOCK,4500 Block S 6Th St,4500_S_6th_St,Louisville,KY,40214,-85.77046899999999,38.188165000000005,White,M,32.0,1.0
24,80-17-014921,2017,2017-02-21,Wpns_Law_Violation,,,"Glock,_Inc.",Model_31/31C_(3,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,24.0,1.0
25,80-17-014610,2017,2017-02-20,Wpns_Law_Violation,Pistol,Semi-Automatic,Jimenez_Arms,See_Bryco,380C,BLOCK,2500 Block Alanmede Rd,2500_Alanmede_Rd,Louisville,KY,40205,-85.667457,38.216242,White,M,16.0,1.0
26,80-17-014580,2017,2017-02-19,Aggravated_Assault,Pistol,Semi-Automatic,Hipoint,Jh-45,4570,BLOCK,3700 Block Oboe Dr,3700_Oboe_Dr,Louisville,KY,40216,-85.841996,38.200835,Black,M,23.0,1.0
27,80-17-014412,2017,2017-02-19,Wpns_Law_Violation,Rifle,Semi-Automatic,"Rock_Island_Armory_Inc._(Geneseo,_Il)",,22C,BLOCK,5200 Block Shepherdsville Rd,5200_Shepherdsville_Rd,Louisville,KY,40228,-85.660083,38.174898999999996,Black,M,28.0,1.0
28,80-17-014045,2017,2017-02-17,Aggravated_Assault,Pistol,Semi-Automatic,Beretta_(Industria_S.A.),Px4_Storm,45C,BLOCK,1500 Block Frankfort Ave,1500_Frankfort_Ave,Louisville,KY,40206,-85.70275600000001,38.253079,,,,0.728
29,80-17-013774,2017,2017-02-17,Wpns_Law_Violation,Pistol,Semi-Automatic,Cobra_Enterprises_Inc,Ca_Series,380C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,White,M,49.0,1.0
30,80-17-013773,2017,2017-02-17,Wpns_Law_Violation,Rifle,Semi-Automatic,O._F._Mossberg_&_Sons,Blaze_47,22C,,7Th Street Rd / Wathen Ln,,Shively,KY,40215,,,Black,M,19.0,
31,80-17-013773,2017,2017-02-17,Wpns_Law_Violation,Pistol,Semi-Automatic,"Keltec,_Cnc_Industries,_Inc",P-3At,380C,,7Th Street Rd / Wathen Ln,,Shively,KY,40215,,,Black,M,19.0,
32,80-17-013756,2017,2017-02-17,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,Pistols:_M&P,9MM,,Constance Dr,,Louisville,KY,40272,,,White,M,19.0,
33,80-17-013485,2017,2017-02-16,Aggravated_Assault,Pistol,Semi-Automatic,Ruger,Handguns:_P_Ser,45C,BLOCK,100 Block W Oak St,100_W_Oak_St,Louisville,KY,40203,-85.757467,38.235146,Black,M,33.0,0.728
34,80-17-013601,2017,2017-02-16,Narcotics,Pistol,Semi-Automatic,Ruger,,22C,BLOCK,1300 Block S 7Th St,1300_S_7th_St,Louisville,KY,40203,-85.762737,38.248071,Black,M,23.0,0.728
37,80-17-013601,2017,2017-02-16,Narcotics,Rifle,Semi-Automatic,American_Tactical_Imports_(Ati),,223C,BLOCK,1300 Block S 7Th St,1300_S_7th_St,Louisville,KY,40203,-85.762737,38.248071,Black,M,23.0,0.728
40,80-17-013601,2017,2017-02-16,Narcotics,Pistol,Semi-Automatic,"Keltec,_Cnc_Industries,_Inc",,9MM,BLOCK,1300 Block S 7Th St,1300_S_7th_St,Louisville,KY,40203,-85.762737,38.248071,Black,M,23.0,0.728
43,80-17-013472,2017,2017-02-16,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,Handguns:_P_Ser,45C,BLOCK,2200 Block W Market St,2200_W_Market_St,Louisville,KY,40212,-85.787047,38.25817,Black,M,39.0,1.0
44,80-17-013445,2017,2017-02-16,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,Bodyguard,380C,BLOCK,3100 Block Lakeheath Dr,3100_Lakeheath_Dr,Louisville,KY,40213,-85.702587,38.171283,Black,M,38.0,1.0
47,80-17-013445,2017,2017-02-16,Wpns_Law_Violation,Shotgun,Pump_Action,O._F._Mossberg_&_Sons,,12GA,BLOCK,3100 Block Lakeheath Dr,3100_Lakeheath_Dr,Louisville,KY,40213,-85.702587,38.171283,Black,M,38.0,1.0
50,80-17-013445,2017,2017-02-16,Wpns_Law_Violation,Pistol,Revolver,High_Standard_Manufacturing_Company_(Houston),,22C,BLOCK,3100 Block Lakeheath Dr,3100_Lakeheath_Dr,Louisville,KY,40213,-85.702587,38.171283,Black,M,38.0,1.0
